category,path,sha256,size_bytes
core_doc,research/tasks/task_definitions.py,065cdfd854074fb7b56c50fea46b711163162c06944fc138fcfd4deccaf8e46a,11487
core_doc,research/EMPIRICAL_RESULTS_REPORT.md,1d32a447622ffd2de1305f0bbae9ace0f1f86b5aa3c975d74bf1642d0138da53,9240
core_doc,research/protocol_conformance_matrix.md,49e865771c17972adc6b19a1231085bf097ea11981efcdc2d111ac39b54748d0,2680
core_doc,research/runs/structural_metrics.json,b660285ed2c2fd3a1e790ccbd4881b623ac356b1e130c89bb6a52e2b7ad41a33,2024
core_doc,research/runs/evolution/evolution_manifest.json,84223b9d41b3a96121eb9d3bfe58d2c37b9eef4fb0d2d3b27ec122303526ce6e,8157
core_doc,research/runs/fault_injection/fault_manifest.json,28652c36c957c0f4b98ac7a6a9117e40dc10187ac2fec16978a3f12a1c67ea93,4373
core_doc,research/benchmarks/statistical_bootstrapper.py,259f82fa71852ec56fdb94a593fd77722575ef9a28fba7cffeb86645102a9bc3,7614
task_run,research\runs\agentcore_T02\manifest.json,42351dcf2abae9f63ec91e6999f523f06383da5ca1f0ef838d8aae0adaba6bdc,929
task_run,research\runs\agentcore_T02\run.patch,eca6ff4446b9ff45293f6526b97aa7601f8b764846f66ba9b065e105eef9b7c8,13575
task_run,research\runs\agentcore_T03\manifest.json,c40fdbd389ca9a5ef96e0a4bae330e97821456ffeffd14362a83baa7a39a2f0f,926
task_run,research\runs\agentcore_T03\run.patch,f4dcee788d57e357b066ce7b6cdac8a6bdd0baef1ed0b4908e5896dd158a1e00,9097
task_run,research\runs\agentcore_T04\manifest.json,9528914adb9e9756ee3b8423e3e823ef9aa38691e95f09433fadbe1965c410c0,914
task_run,research\runs\agentcore_T04\run.patch,2d66193ba3c695a9384520d939d02feadf6285c8b5dfadc8a4c9175f194dedd0,9673
task_run,research\runs\agentcore_T05\manifest.json,97496db26ab418f55c4a92a9c3b696abf97816ee16284702d682e249d5107233,930
task_run,research\runs\agentcore_T05\run.patch,b2b7a2e3f12d07190c6563e7379068b80d6717e686d421ae81ce9183b5fc8c0b,10568
task_run,research\runs\agentcore_T06\manifest.json,4a7d6d4370a68504ad8ffc73d9800511792d88d8affb41375a317a190594466b,930
task_run,research\runs\agentcore_T06\run.patch,b1e6956406e07af71f485ff3199accaf35b20cce41c18e5fcd96c40f0dbf03d9,11022
task_run,research\runs\agentcore_T07\manifest.json,e80f2fd0a06e99f6a3abb63e47f4f266374c882ca34c5e34822ffcd02d679897,949
task_run,research\runs\agentcore_T07\run.patch,02f82efe2d3ade09283cc7264fa66b538bd114ace270e0e70f05055581a6a439,12031
task_run,research\runs\agentcore_T08\manifest.json,36cf481f6ccdb65cbb60eeea243c7845b12afe10cece94156265433bcc0d5ac8,980
task_run,research\runs\agentcore_T08\run.patch,6abe570c9565d9abed68f6e2f48d9e28401fe1f9af4b32318164957a587a7120,10503
task_run,research\runs\agentcore_T09\manifest.json,7fde59d086b8033652ae5d328d88915a27b1d26ee086cf35c33ce053a3884274,981
task_run,research\runs\agentcore_T09\run.patch,e142e45c8b9291e309c463386f020c6d607472864faadafa562351e634b80d3c,16650
task_run,research\runs\agentcore_T10\manifest.json,f227cb24463dcae989ac187f54b8d338b09658cdbbaecb4d602e85ba6f5e1724,981
task_run,research\runs\agentcore_T10\run.patch,3032b1821dee66317ae8d8c955863a4e73958bb29556a1911a5f2b4dc0eecea6,10652
task_run,research\runs\agentcore_T11\manifest.json,3cdc325d6c77e70f19b876d97237f74a45b8533d9386cb774510030f99254a25,743
task_run,research\runs\agentcore_T11\run.patch,46c71f28d21e4982f92414b0302b844eed5055e3e617c162020a31872f13afee,4551
task_run,research\runs\agentcore_T12\manifest.json,acfc93bd534d0d7428d97e4ec8799a6cc6cab4a40e902507a5b2fdfcb4e50ce7,751
task_run,research\runs\agentcore_T12\run.patch,731a17ae3d5deeed65665a8c1874837e1a2f4a5f75916280d1e19f57eba7ea67,4809
task_run,research\runs\langgraph_T02\manifest.json,38f4cbb062086705673116011356765be092fb8f920f7bb57db287785cc4f263,1099
task_run,research\runs\langgraph_T02\run.patch,52e2d30e489d8473aaf94a50ce2a546f259763c989dcfe6bbfb6929f859170b5,3714
task_run,research\runs\langgraph_T03\manifest.json,e2eb842d34630bca6fd487a737d1b17d09a7ef1183a1cfd943f38ffa58e84d4a,1102
task_run,research\runs\langgraph_T03\run.patch,8b2d6b2e541c7e7d6f632d19bbeb7a636130f9d7b207409eb0ce52d29c8043b9,2272
task_run,research\runs\langgraph_T04\manifest.json,a57d43b2b5110ecc8bd7094af19f22be3b0e53b7a67784337a82adf5fc821da7,1093
task_run,research\runs\langgraph_T04\run.patch,e7342ca8a8e62be63ed1a2541762ac29f89af81e6fa400aaefec600232264dbb,1833
task_run,research\runs\langgraph_T05\manifest.json,c413fcca1d8cb5e92771c69593ef5c35f02172b053d56f72448a65f59a99c73c,1089
task_run,research\runs\langgraph_T05\run.patch,a161b3e76e3a8cee96cf60008bc0cec374cf5609f6744e44e05190dfcddf023d,1871
task_run,research\runs\langgraph_T06\manifest.json,993b2c81b3280de97dbf24dec1ccfaaa9eacd484347421af0ba8dd8c5cbc10d8,1085
task_run,research\runs\langgraph_T06\run.patch,226faf80d00e8765d9965b240127add8860f982c6e80540ce6802522cc493bfc,3245
task_run,research\runs\langgraph_T07\manifest.json,ee7c90ce3855b96d98b357375d42297d5a32ce6f1ce73f947fbda321b5db78cc,1096
task_run,research\runs\langgraph_T07\run.patch,2351123b00b1e4737362d49f013746fcc0607f08176beadec9f34ca3eee8f016,1570
task_run,research\runs\langgraph_T08\manifest.json,da7891b7502c9ca1ffba227123e703231e6eb8097e58a7b90a525809e9b72fa9,1099
task_run,research\runs\langgraph_T08\run.patch,3961469b4bfc796b8311453afd75ede53ab69854a92c662cc3580f40a377cad2,2660
task_run,research\runs\langgraph_T09\manifest.json,d0089a743bc38dbdde1bab858219914f1d8839797b61e935c2d53d24a0c58a77,1097
task_run,research\runs\langgraph_T09\run.patch,1928d26dca43cc7e65b873c5e734c3001592fa501ec1746ab306107df690aad2,1948
task_run,research\runs\langgraph_T10\manifest.json,f822ce86324965f79fae0a8625c5633d64d2bbc6e0ff97ba34831836b603aee0,1102
task_run,research\runs\langgraph_T10\run.patch,8849b15f9574581475807e63c337482d167875c16e766136441cc569f6a86dbd,2322
task_run,research\runs\langgraph_T11\manifest.json,06b676a8bc598bebe70b5df50a043bc072533464f26d20d1bf5c10c4fca4e5f3,1100
task_run,research\runs\langgraph_T11\run.patch,5b8ac7ad4aa73778acf31ac9678a45cde547fcc2ac5872b5830d6a470bc69c5b,2647
task_run,research\runs\langgraph_T12\manifest.json,673f832490ea0fea84fafea14518671e331f6ae3945b2293bb12759707267c64,1095
task_run,research\runs\langgraph_T12\run.patch,4a2ebcc3af5a09ab200898e98e82e1f4bccb9e76e51d61b14a07d6ce7c699ed8,1991
task_run,research\runs\openai_agents_T01\manifest.json,8507672e3daf75a50c56d651582b675e6352df7dd0cfd6d50bccb6ec970429d9,620
task_run,research\runs\openai_agents_T01\run.patch,c2f97ba3138456df708bca9f5f2b493744d82f5d3c4efcb828a7be9eaec4f3b7,1871
task_run,research\runs\openai_agents_T02\manifest.json,d2eb3f027bf3a75bcf33d26b2ae55b685de9ef6a8c4961dbb18266c0dfa21ec9,614
